Include/exclude,Reason,,,,,ORN,VN,DB,TI,OT,SO,AU,PB,PT,FTURL,XL,,Include/exclude,Reason,Include/exclude,Reason
0,Conference abstract,,,,,133,Ovid Technologies,Embase,Measuring cognition in animals and humans.,,"European Neuropsychopharmacology. Conference: 26th European College of Neuropsychopharmacology, ECNP Congress. Barcelona Spain. Conference Publication: (var.pagings). 23 (SUPPL. 2) (pp S638), 2013. Date of Publication: October 2013.",Robbins T.W.,Elsevier,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,134,Ovid Technologies,Embase,Reaction time modulation deficit in dysphorics: A behavioral study.,,"Biological Psychiatry. Conference: 68th Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2013. San Francisco, CA United States. Conference Publication: (var.pagings). 73 (9 SUPPL. 1) (pp 161S), 2013. Date of Publication: 01 May 2013.","Kumar P.

Parsons E.

Capitao L.

Pizzagalli D.A.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,135,Ovid Technologies,Embase,Abberant instrumental learning in suicide attempters.,,"Biological Psychiatry. Conference: 68th Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2013. San Francisco, CA United States. Conference Publication: (var.pagings). 73 (9 SUPPL. 1) (pp 2S), 2013. Date of Publication: 01 May 2013.",Dombrovski A.,Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,136,Ovid Technologies,Embase,Effects of depression on reward-based decision making and variability of action in probabilistic learning.,,"Journal of Behavior Therapy and Experimental Psychiatry. 43 (4) (pp 1088-1094), 2012. Date of Publication: December 2012.","Kunisato Y.

Okamoto Y.

Ueda K.

Onoda K.

Okada G.

Yoshimura S.

Suzuki S.-I.

Samejima K.

Yamawaki S.","Elsevier Ltd (Langford Lane, Kidlington, Oxford OX5 1GB, United Kingdom)",Article,Click here for full text options,SFX,,,,,
0,Review paper,,,,,137,Ovid Technologies,Embase,"Plasticity, learning, and complexity in spiking networks.",,"Critical Reviews in Biomedical Engineering. 40 (6) (pp 501-518), 2012. Date of Publication: 2012.","Kello C.T.

Rodny J.

Warlaumont A.S.

Noelle D.C.","Begell House Inc. (50 Cross Highway, Redding CT 06886, United States)",Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,138,Ovid Technologies,Embase,Bdnf val66met modulates bold response to affective instrumental learning in humans.,,"Neuropsychopharmacology. Conference: 51st Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2012. Hollywood, FL United States. Conference Publication: (var.pagings). 38 (SUPPL. 1) (pp S438-S439), 2012. Date of Publication: December 2012.","Jabbi M.

Cropp B.

Nash T.

Kohn P.

Mattay R.

Kippenhan S.

Kolachana B.S.

Weinberger D.R.

Berman K.F.",Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,139,Ovid Technologies,Embase,Expected value and prediction error abnormalities in depression and schizophrenia.,,"Brain. 134 (6) (pp 1751-1764), 2011. Date of Publication: June 2011.","Gradin V.B.

Kumar P.

Waiter G.

Ahearn T.

Stickle C.

Milders M.

Reid I.

Hall J.

Steele J.D.",Oxford University Press (E-mail: jnl.info@oup.co.uk),Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,140,Ovid Technologies,Embase,Dopamine axons innervating the rat lateral habenula: Ultrastructural features common to and distinct from other forebrain dopamine projections.,,"Neuropsychopharmacology. Conference: 50th Annual Meeting of the American College of Neuropsychopharmacology, ACNP. Waikoloa, HI United States. Conference Publication: (var.pagings). 36 (SUPPL. 1) (pp S448-S449), 2011. Date of Publication: December 2011.","Sesack S.

Krakowski G.

Balcita-Pedicino J.J.",Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,141,Ovid Technologies,Embase,Neural representation of value and prediction error signals in late-life depression with and without suicidal behavior.,,"Neuropsychopharmacology. Conference: 50th Annual Meeting of the American College of Neuropsychopharmacology, ACNP. Waikoloa, HI United States. Conference Publication: (var.pagings). 36 (SUPPL. 1) (pp S364-S365), 2011. Date of Publication: December 2011.","Dombrovski A.

Szanto K.

Clark L.

Reynolds C.

Siegle G.",Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,142,Ovid Technologies,Embase,"An abstract model of the basal ganglia, reward learning and action selection.",,"BMC Neuroscience. Conference: 20th Annual Computational Neuroscience Meeting, CNS 2011. Stockholm Sweden. Conference Publication: (var.pagings). 12 (SUPPL. 1) (no pagination), 2011. Date of Publication: 18 Jul 2011.","Berthet P.

Lansner A.",BioMed Central Ltd.,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,143,Ovid Technologies,Embase,Synaptic tagging and capture: A bridge from molecular to behaviour.,,"BMC Neuroscience. Conference: 20th Annual Computational Neuroscience Meeting, CNS 2011. Stockholm Sweden. Conference Publication: (var.pagings). 12 (SUPPL. 1) (no pagination), 2011. Date of Publication: 18 Jul 2011.","Ziegler L.

Gerstner W.",BioMed Central Ltd.,Conference Abstract,Click here for full text options,SFX,,,,,
0,Review paper,,,,,144,Ovid Technologies,Embase,Computational models of reinforcement learning: The role of dopamine as a reward signal.,,"Cognitive Neurodynamics. 4 (2) (pp 91-105), 2010. Date of Publication: June 2010.","Samson R.D.

Frank M.J.

Fellous J.-M.","Springer Netherlands (Van Godewijckstraat 30, Dordrecht 3311 GZ, Netherlands)",Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,145,Ovid Technologies,Embase,Cognitive aspects of congenital learned helplessness and its reversal by the monoamine oxidase (MAO)-B inhibitor deprenyl.,,"Neurobiology of Learning and Memory. 93 (2) (pp 291-301), 2010. Date of Publication: February 2010.","Schulz D.

Mirrione M.M.

Henn F.A.","Academic Press Inc. (1250 Sixth Avenue, San Diego, California CA 92101, United States)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,146,Ovid Technologies,Embase,Reward/punishment reversal learning in older suicide attempters.,,"American Journal of Psychiatry. 167 (6) (pp 699-707), 2010. Date of Publication: June 2010.","Dombrovski A.Y.

Clark L.

Siegle G.J.

Butters M.A.

Ichikawa N.

Sahakian B.J.

Szanto K.","American Psychiatric Association (1000 Wilson Boulevard, Suite 1825, Arlington VA 22209-3901, United States)",Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,147,Ovid Technologies,Embase,Abnormalities in reward prediction error signals in depression and schizophrenia.,,"European Neuropsychopharmacology. Conference: 2010 ECNP Workshop on Neuropsychopharmacology for Young Scientists in Europe. Nice France. Conference Publication: (var.pagings). 20 (SUPPL. 1) (pp S67-S68), 2010. Date of Publication: March 2010.","Gradin V.B.

Kumar P.

Waiter G.

Ahearn T.

Reid I.

Stickle C.

Milders M.

Hall J.

Steele J.D.",Elsevier,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,148,Ovid Technologies,Embase,The reinforcement learning by striatum. [Japanese],,"Brain and Nerve. 61 (4) (pp 405-411), 2009. Date of Publication: April 2009.","Kunisato Y.

Okada G.

Okamoto Y.","Igaku-Shoin Ltd (5-24-3 Hongo, Bunkyo-ku, Tokyo 113-91, Japan)",Article,Click here for full text options,SFX,,,,,
0,Review paper,,,,,149,Ovid Technologies,Embase,"Computational perspectives on forebrain microcircuits implicated in reinforcement learning, action selection, and cognitive control.",,"Neural Networks. 22 (5-6) (pp 757-765), 2009. Date of Publication: July/August 2009.","Bullock D.

Tan C.O.

John Y.J.","Elsevier Ltd (Langford Lane, Kidlington, Oxford OX5 1GB, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,150,Ovid Technologies,Embase,A Bayesian formulation of behavioral control.,,"Cognition. 113 (3) (pp 314-328), 2009. Date of Publication: December 2009.","Huys Q.J.M.

Dayan P.","Elsevier (P.O. Box 211, Amsterdam 1000 AE, Netherlands)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,151,Ovid Technologies,Embase,"Dynamical model of salience gated working memory, action selection and reinforcement based on basal ganglia and dopamine feedback.",,"Neural Networks. 21 (2-3) (pp 322-330), 2008. Date of Publication: March 2008/April 2008.",Ponzi A.,"Elsevier Ltd (Langford Lane, Kidlington, Oxford OX5 1GB, United Kingdom)",Article,Click here for full text options,SFX,,,,,
0,Neurons/circuits,,,,,152,Ovid Technologies,Embase,Reinforcement learning with modulated spike timing-dependent synaptic plasticity.,,"Journal of Neurophysiology. 98 (6) (pp 3648-3665), 2007. Date of Publication: December 2007.","Farries M.A.

Fairhall A.L.","American Physiological Society (9650 Rockville Pike, Bethesda MD 20814-3991, United States)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,153,Ovid Technologies,Embase,The amygdala and ventromedial prefrontal cortex in morality and psychopathy.,,"Trends in Cognitive Sciences. 11 (9) (pp 387-392), 2007. Date of Publication: September 2007.",Blair R.J.R.,"Elsevier Ltd (Langford Lane, Kidlington, Oxford OX5 1GB, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,154,Ovid Technologies,Embase,Optimal spike-timing-dependent plasticity for precise action potential firing in supervised learning.,,"Neural Computation. 18 (6) (pp 1318-1348), 2006. Date of Publication: June 2006.","Pfister J.-P.

Toyoizumi T.

Barber D.

Gerstner W.","MIT Press Journals (238 Main Street, Suite 500, Cambridge MA 02142-1046, United States)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,155,Ovid Technologies,Embase,A formal cognitive model of the go/no-go discrimination task: Evaluation and implications.,,"Psychological Assessment. 18 (3) (pp 239-249), 2006. Date of Publication: September 2006.","Yechiam E.

Goodnight J.

Bates J.E.

Busemeyer J.R.

Dodge K.A.

Pettit G.S.

Newman J.P.","American Psychological Association Inc. (750 First Street NE, Washington DC 20002-4242, United States)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,156,Ovid Technologies,Embase,Cerebellar learning of bio-mechanical functions of extra-ocular muscles: Modeling by artificial neural networks.,,"Neuroscience. 122 (4) (pp 941-966), 2003. Date of Publication: 2003.","Ebadzadeh M.

Darlot C.","Elsevier Ltd (Langford Lane, Kidlington, Oxford OX5 1GB, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,157,Ovid Technologies,Embase,Reinforcement learning by Hebbian synapses with adaptive thresholds.,,"Neuroscience. 81 (2) (pp 303-319), 1997. Date of Publication: 08 Sep 1997.",Pennartz C.M.A.,"Elsevier Ltd (Langford Lane, Kidlington, Oxford OX5 1GB, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,158,Ovid Technologies,Embase,Self-tuning optimal regulation of respiratory motor output by Hebbian covariance learning.,,"Neural Networks. 9 (8) (pp 1367-1383), 1996. Date of Publication: November 1996.",Poon C.-S.,"Elsevier Ltd (Langford Lane, Kidlington, Oxford OX5 1GB, United Kingdom)",Review,Click here for full text options,SFX,,,,,
