Include/exclude at abstract review,Reason,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
0,Not clinical groups,J,"Liu, HH; Hwang, YD; Hsieh, MH; Hsu, YF; Lai, WS",,,,"Liu, Hong-Hsiang; Hwang, Yin-Dir; Hsieh, Ming H.; Hsu, Yung-Fong; Lai, Wen-Sung",,,Misfortune may be a blessing in disguise: Fairness perception and emotion modulate decision making,PSYCHOPHYSIOLOGY,,,,,,,,,,,,,,,,,"Lai, Wen-Sung/0000-0001-6918-5531",,,,,,,,,,,,0048-5772,1469-8986,,,,AUG,2017,54,8,,,,,1163,1179,,10.1111/psyp.12870,,,,,,,WOS:000406888400006,28421669,,,,
0,No RL modelling,J,"Rutledge, RB; Moutoussis, M; Smittenaar, P; Zeidman, P; Taylor, T; Hrynkiewicz, L; Lam, J; Skandali, N; Siegel, JZ; Ousdal, OT; Prabhu, G; Dayan, P; Fonagy, P; Dolan, RJ",,,,"Rutledge, Robb B.; Moutoussis, Michael; Smittenaar, Peter; Zeidman, Peter; Taylor, Tanja; Hrynkiewicz, Louise; Lam, Jordan; Skandali, Nikolina; Siegel, Jenifer Z.; Ousdal, Olga T.; Prabhu, Gita; Dayan, Peter; Fonagy, Peter; Dolan, Raymond J.",,,Association of Neural and Emotional Impacts of Reward Prediction Errors With Major Depression,JAMA PSYCHIATRY,,,,,,,,,,,,,,,,,"Lam, Jordan/0000-0003-3955-9031",,,,,,,,,,,,2168-622X,2168-6238,,,,AUG,2017,74,8,,,,,790,797,,10.1001/jamapsychiatry.2017.1713,,,,,,,WOS:000406930300007,28678984,,,,
0,clinical group is Tourette's,J,"Salvador, A; Worbe, Y; Delorme, C; Coricelli, G; Gaillard, R; Robbins, TW; Hartmann, A; Palminteri, S",,,,"Salvador, Alexandre; Worbe, Yulia; Delorme, Cecile; Coricelli, Giorgio; Gaillard, Raphael; Robbins, Trevor W.; Hartmann, Andreas; Palminteri, Stefano",,,Specific effect of a dopamine partial agonist on counterfactual learning: evidence from Gilles de la Tourette syndrome,SCIENTIFIC REPORTS,,,,,,,,,,,,,,,,"; Gaillard, Raphael/J-6527-2015","Palminteri, Stefano/0000-0001-5768-6646; Salvador, Alexandre/0000-0002-3872-7200; Robbins, Trevor/0000-0003-0642-5977; Gaillard, Raphael/0000-0002-1297-4369; Worbe, Yulia/0000-0001-5903-9370",,,,,,,,,,,,2045-2322,,,,,Jul-24,2017,7,,,,,,,,6292,10.1038/s41598-017-06547-8,,,,,,,WOS:000406260800005,28740149,,,,
0,Review paper,J,"Vahey, NA; Bennett, M; Whelan, R",,,,"Vahey, Nigel A.; Bennett, Marc; Whelan, Robert",,,Conceptual advances in the cognitive neuroscience of learning: Implications for relational frame theory,JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,,,,,,,,,,,,,,,,"Vahey, Nigel/J-1170-2019","Vahey, Nigel/0000-0001-9799-3341",,,,,,,,,,,,2212-1447,2212-1455,,,,JUL,2017,6,3,,,,,308,313,,10.1016/j.jcbs.2017.04.001,,,,,,,WOS:000423946600009,,,,,
0,Learning of paediatric pain,J,"Boerner, KE; Cham'bers, CT; McGrath, PJ; LoLordo, V; Uher, R",,,,"Boerner, Katelynn E.; Cham'bers, Christine T.; McGrath, Patrick J.; LoLordo, Vincent; Uher, Rudolf",,,The Effect of Parental Modeling on Child Pain Responses: The Role of Parent and Child Sex,JOURNAL OF PAIN,,,,,,,,,,,,,,,,"Uher, Rudolf/A-5477-2008; Chambers, Christine/I-2811-2014","Uher, Rudolf/0000-0002-2998-0546; Boerner, Katelynn/0000-0003-1652-4813; Chambers, Christine/0000-0002-7138-916X; McGrath, Patrick/0000-0002-9568-2571",,,,,,,,,,,,1526-5900,,,,,JUN,2017,18,6,,,,,702,715,,10.1016/j.jpain.2017.01.007,,,,,,,WOS:000403129400010,28161474,,,,
0,Conference abstract,J,"Gillan, C",,,,"Gillan, Claire",,,Defining Trans-Diagnostic Psychiatric Traits Using Reinforcement Learning Models in Large Online Samples,BIOLOGICAL PSYCHIATRY,,,,,72nd Annual Scientific Convention and Meeting of the Society-of-Biological-Psychiatry (SOBP),"MAY 18-20, 2017","San Diego, CA",Soc Biol Psychiat,,,,,,,,,,,,,,,,,,,,,0006-3223,1873-2402,,,,May-15,2017,81,10,,S,,440,S180,S180,,10.1016/j.biopsych.2017.02.924,,,,,,,WOS:000400348700437,,,,,
0,OCD,J,"Hauser, TU; Iannaccone, R; Dolan, RJ; Ball, J; Hattenschwiler, J; Drechsler, R; Rufer, M; Brandeis, D; Walitza, S; Brem, S",,,,"Hauser, T. U.; Iannaccone, R.; Dolan, R. J.; Ball, J.; Hattenschwiler, J.; Drechsler, R.; Rufer, M.; Brandeis, D.; Walitza, S.; Brem, S.",,,Increased fronto-striatal reward prediction errors moderate decision making in obsessive-compulsive disorder,PSYCHOLOGICAL MEDICINE,,,,,,,,,,,,,,,,"Brem, Silvia/M-7130-2016","Brem, Silvia/0000-0002-8031-1305; Walitza, Susanne/0000-0002-8161-8683; Hauser, Tobias U./0000-0002-7997-8137",,,,,,,,,,,,0033-2917,1469-8978,,,,MAY,2017,47,7,,,,,1246,1258,,10.1017/S0033291716003305,,,,,,,WOS:000398797100007,28065182,,,,
0,Schizophrenia,J,"Krystal, JH; Murray, JD; Chekroud, AM; Corlett, PR; Yang, G; Wang, XJ; Anticevic, A",,,,"Krystal, John H.; Murray, John D.; Chekroud, Adam M.; Corlett, Philip R.; Yang, Genevieve; Wang, Xiao-Jing; Anticevic, Alan",,,Computational Psychiatry and the Challenge of Schizophrenia,SCHIZOPHRENIA BULLETIN,,,,,,,,,,,,,,,,,"Chekroud, Adam/0000-0002-0497-596X",,,,,,,,,,,,0586-7614,1745-1701,,,,May-01,2017,43,3,,,,,473,475,,10.1093/schbul/sbx025,,,,,,,WOS:000398997900001,28338845,,,,
0,No modelling,J,"Walker, BR; Jackson, CJ; Frost, R",,,,"Walker, Benjamin R.; Jackson, Chris J.; Frost, Ralph",,,A comparison of revised reinforcement sensitivity theory with other contemporary personality models,PERSONALITY AND INDIVIDUAL DIFFERENCES,,,,,,,,,,,,,,,,,"Walker, Benjamin/0000-0002-1137-3131",,,,,,,,,,,,0191-8869,,,,,Apr-15,2017,109,,,,,,232,236,,10.1016/j.paid.2016.12.053,,,,,,,WOS:000395225800036,,,,,
0,Only show individual parameters on graph,J,"Rothkirch, M; Tonn, J; Kohler, S; Sterzer, P",,,,"Rothkirch, Marcus; Tonn, Jonas; Koehler, Stephan; Sterzer, Philipp",,,Neural mechanisms of reinforcement learning in unmedicated patients with major depressive disorder,BRAIN,,,,,,,,,,,,,,,,"Rothkirch, Marcus/J-8660-2016",,,,,,,,,,,,,0006-8950,1460-2156,,,,APR,2017,140,,4,,,,1147,1157,,10.1093/brain/awx025,,,,,,,WOS:000397319400033,28334960,,,,
0,Intellectual disability,J,"Gacek, M; Smolen, T; Pilecka, W",,,,"Gacek, Michal; Smolen, Tomasz; Pilecka, Wladyslawa",,,Consequences of Learned Helplessness and Recognition of the State of Cognitive Exhaustion in Persons with Mild Intellectual Disability,ADVANCES IN COGNITIVE PSYCHOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895-1171,,,,,Mar-31,2017,13,1,,,,,42,51,,10.5709/acp-0205-6,,,,,,,WOS:000398214700005,28479937,,,,
0,In rats,J,"Xu, P; Wang, KZ; Lu, C; Dong, LM; Chen, YX; Wang, Q; Shi, Z; Yang, YY; Chen, SG; Liu, XM",,,,"Xu, Pan; Wang, Kezhu; Lu, Cong; Dong, Liming; Chen, Yixi; Wang, Qiong; Shi, Zhe; Yang, Yanyan; Chen, Shanguang; Liu, Xinmin",,,Effects of the chronic restraint stress induced depression on reward-related learning in rats,BEHAVIOURAL BRAIN RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0166-4328,1872-7549,,,,Mar-15,2017,321,,,,,,185,192,,10.1016/j.bbr.2016.12.045,,,,,,,WOS:000394403600021,28065844,,,,
0,In pigs,J,"Settell, ML; Testini, P; Cho, S; Lee, JH; Blaha, CD; Jo, HJ; Lee, KH; Min, HK",,,,"Settell, Megan L.; Testini, Paola; Cho, Shinho; Lee, Jannifer H.; Blaha, Charles D.; Jo, Hang J.; Lee, Kendall H.; Min, Hoon-Ki",,,Functional Circuitry Effect of Ventral Tegmental Area Deep Brain Stimulation: Imaging and Neurochemical Evidence of Mesocortical and Mesolimbic Pathway Modulation,FRONTIERS IN NEUROSCIENCE,,,,,,,,,,,,,,,,"JO, HANG JOON/D-1775-2011; Min, Hoon-Ki/A-6025-2018","JO, HANG JOON/0000-0002-9180-3831; Min, Hoon-Ki/0000-0002-1084-2469",,,,,,,,,,,,1662-453X,,,,,Mar-03,2017,11,,,,,,,,104,10.3389/fnins.2017.00104,,,,,,,WOS:000395318500001,28316564,,,,
0,Systematic review on apnea,J,"Pombo, N; Garcia, N; Bousson, K",,,,"Pombo, Nuno; Garcia, Nuno; Bousson, Kouamana",,,Classification techniques on computerized systems to predict and/or to detect Apnea: A systematic review,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,,,,,,,,,,,,,,,,"Garcia, Nuno M./N-1681-2019; Bousson, Kouamana/I-4117-2015","Garcia, Nuno M./0000-0002-3195-3168; Bousson, Kouamana/0000-0001-5517-8963; Pombo, Nuno/0000-0001-7797-8849",,,,,,,,,,,,0169-2607,1872-7565,,,,MAR,2017,140,,,,,,265,274,,10.1016/j.cmpb.2017.01.001,,,,,,,WOS:000397074300027,28254083,,,,
0,Review and off topic,J,"Oliver, C; Licence, L; Richards, C",,,,"Oliver, Chris; Licence, Lucy; Richards, Caroline",,,Self-injurious behaviour in people with intellectual disability and autism spectrum disorder,CURRENT OPINION IN PSYCHIATRY,,,,,,,,,,,,,,,,"; Oliver, Christopher/A-7519-2008","Richards, Caroline/0000-0002-5444-4147; Oliver, Christopher/0000-0001-5217-6209",,,,,,,,,,,,0951-7367,1473-6578,,,,MAR,2017,30,2,,,,,97,101,,10.1097/YCO.0000000000000313,,,,,,,WOS:000393777500007,28030375,,,,
0,In rats,J,"Feyissa, DD; Aher, YD; Engidawork, E; Hoger, H; Lubec, G; Korz, V",,,,"Feyissa, Daniel D.; Aher, Yogesh D.; Engidawork, Ephrem; Hoeger, Harald; Lubec, Gert; Korz, Volker",,,Individual Differences in Male Rats in a Behavioral Test Battery: A Multivariate Statistical Approach,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,,,,,,,,,,,,,,,,"Engidawork, Ephrem/K-7551-2019","Engidawork, Ephrem/0000-0002-9931-6421",,,,,,,,,,,,1662-5153,,,,,Feb-17,2017,11,,,,,,,,26,10.3389/fnbeh.2017.00026,,,,,,,WOS:000394175300001,28261069,,,,
0,In rats,J,"Amadi, U; Lim, SH; Liu, E; Baratta, MV; Goosens, KA",,,,"Amadi, Ugwechi; Lim, Seh Hong; Liu, Elizabeth; Baratta, Michael V.; Goosens, Ki A.",,,Hippocampal Processing of Ambiguity Enhances Fear Memory,PSYCHOLOGICAL SCIENCE,,,,,,,,,,,,,,,,,"Goosens, Ki/0000-0002-5246-2261",,,,,,,,,,,,0956-7976,1467-9280,,,,FEB,2017,28,2,,,,,143,161,,10.1177/0956797616674055,,,,,,,WOS:000396813300001,28182526,,,,
0,Fixed effects analysis - used mean of all participants only,J,"White, SF; Geraci, M; Lewis, E; Leshin, J; Teng, C; Averbeck, B; Meffert, H; Ernst, M; Blair, JR; Grillon, C; Blair, KS",,,,"White, Stuart F.; Geraci, Marilla; Lewis, Elizabeth; Leshin, Joseph; Teng, Cindy; Averbeck, Bruno; Meffert, Harma; Ernst, Monique; Blair, James R.; Grillon, Christian; Blair, Karina S.",,,Prediction Error Representation in Individuals With Generalized Anxiety Disorder During Passive Avoidance,AMERICAN JOURNAL OF PSYCHIATRY,,,,,,,,,,,,,,,,,"Teng, Cindy/0000-0002-2611-1791",,,,,,,,,,,,0002-953X,1535-7228,,,,Feb-01,2017,174,2,,,,,110,117,,10.1176/appi.ajp.2016.15111410,,,,,,,WOS:000396662200008,27631963,,,,
0,Review paper,S,"Zald, DH; Treadway, MT",,"Widiger, T; Cannon, TD",,"Zald, David H.; Treadway, Michael T.",,,"Reward Processing, Neuroeconomics, and Psychopathology","ANNUAL REVIEW OF CLINICAL PSYCHOLOGY, VOL 13",Annual Review of Clinical Psychology,,,,,,,,,,,,,,,"Treadway, Michael/O-9056-2017",,,,,,,,,,,,,1548-5943,,,,,,2017,13,,,,,,471,495,,10.1146/annurev-clinpsy-032816-044957,,,,,,,WOS:000401334300019,28301764,,,,
0,Internet addiction,S,"Brand, M",,"Montag, C; Reuter, M",,"Brand, Matthias",,,Theoretical Models of the Development and Maintenance of Internet Addiction,"INTERNET ADDICTION: NEUROSCIENTIFIC APPROACHES AND THERAPEUTICAL IMPLICATIONS INCLUDING SMARTPHONE ADDICTION, 2ND EDITION","Studies in Neuroscience, Psychology and Behavioral Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,2196-6605,2196-6613,978-3-319-46276-9; 978-3-319-46275-2,,,,2017,,,,,,,19,34,,10.1007/978-3-319-46276-9_2,10.1007/978-3-319-46276-9,,,,,,WOS:000419498600003,,,,,
0,Functional neurological disorder,J,"Morris, LS; To, B; Baek, K; Chang-Webb, YC; Mitchell, S; Strelchuk, D; Mikheenko, Y; Phillips, W; Zandi, M; Jenaway, A; Walsh, C; Voon, V",,,,"Morris, Laurel S.; To, Benjaman; Baek, Kwangyeol; Chang-Webb, Yee-Chien; Mitchell, Simon; Strelchuk, Daniela; Mikheenko, Yevheniia; Phillips, Wendy; Zandi, Michael; Jenaway, Allison; Walsh, Cathy; Voon, Valerie",,,Disrupted avoidance learning in functional neurological disorder: Implications for harm avoidance theories,NEUROIMAGE-CLINICAL,,,,,,,,,,,,,,,,"; Zandi, Michael/H-3444-2013","Morris, Laurel/0000-0002-5862-6650; Zandi, Michael/0000-0002-9612-9401; To, Benjaman/0000-0002-3768-4237",,,,,,,,,,,,2213-1582,,,,,,2017,16,,,,,,286,294,,10.1016/j.nicl.2017.08.007,,,,,,,WOS:000413235100031,28856091,,,,
0,No means/sds displayed,J,"Bakic, J; Pourtois, G; Jepma, M; Duprat, R; De Raedt, R; Baeken, C",,,,"Bakic, Jasmina; Pourtois, Gilles; Jepma, Marieke; Duprat, Romain; De Raedt, Rudi; Baeken, Chris",,,Spared internal but impaired external reward prediction error signals in major depressive disorder during reinforcement learning,DEPRESSION AND ANXIETY,,,,,,,,,,,,,,,,"De Raedt, Rudi/A-3269-2012","De Raedt, Rudi/0000-0001-6781-4808; JEPMA, MARIEKE/0000-0002-7903-0135",,,,,,,,,,,,1091-4269,1520-6394,,,,JAN,2017,34,1,,,,,89,96,,10.1002/da.22576,,,,,,,WOS:000393774000009,27781362,,,,
0,No RL modelling,J,"Bach, DR",,,,"Bach, Dominik R.",,,The Cognitive Architecture of Anxiety-Like Behavioral Inhibition,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,,,,,,,,,,,,,,,,"Bach, Dominik/B-4302-2019","Bach, Dominik/0000-0003-3717-2036",,,,,,,,,,,,0096-1523,1939-1277,,,,JAN,2017,43,1,,,,,18,29,,10.1037/xhp0000282,,,,,,,WOS:000391573900003,27797550,,,,
0,Review paper,J,"Dombrovski, AY; Hallquist, MN",,,,"Dombrovski, Alexandre Y.; Hallquist, Michael N.",,,The decision neuroscience perspective on suicidal behavior: evidence and hypotheses,CURRENT OPINION IN PSYCHIATRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0951-7367,1473-6578,,,,JAN,2017,30,1,,,,,7,14,,10.1097/YCO.0000000000000297,,,,,,,WOS:000390241700002,27875379,,,,
0,Conference abstract,J,"Rouhani, N; Niv, Y",,,,"Rouhani, Nina; Niv, Yael",,,Reward Prediction Errors Affect Episodic Memory: Implications for Depression,NEUROPSYCHOPHARMACOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0893-133X,1740-634X,,,,DEC,2016,41,,,1,,W79,S508,S508,,,,,,,,,WOS:000440366400080,,,,,
0,Not clinical groups,J,"Aberg, KC; Doell, KC; Schwartz, S",,,,"Aberg, Kristoffer Carl; Doell, Kimberly C.; Schwartz, Sophie",,,Linking Individual Learning Styles to Approach-Avoidance Motivational Traits and Computational Aspects of Reinforcement Learning,PLOS ONE,,,,,,,,,,,,,,,,,"Doell, Kimberly/0000-0002-0043-9609; Schwartz, Sophie/0000-0001-7718-4053",,,,,,,,,,,,1932-6203,,,,,Nov-16,2016,11,11,,,,,,,e0166675,10.1371/journal.pone.0166675,,,,,,,WOS:000387909300077,27851807,,,,
0,First Episode Psychosis,J,"Chang, WC; Waltz, JA; Gold, JM; Chan, TCW; Chen, EYH",,,,"Chang, Wing Chung; Waltz, James A.; Gold, James M.; Chan, Tracey Chi Wan; Chen, Eric Yu Hai",,,Mild Reinforcement Learning Deficits in Patients With First-Episode Psychosis,SCHIZOPHRENIA BULLETIN,,,,,,,,,,,,,,,,,"Chen, Eric/0000-0002-5247-3593; CHANG, Wing Chung/0000-0002-3581-8895",,,,,,,,,,,,0586-7614,1745-1701,,,,NOV,2016,42,6,,,,,1476,1485,,10.1093/schbul/sbw060,,,,,,,WOS:000388029100022,27179125,,,,
0,Review paper,J,"Averbeck, BB; Chafee, MV",,,,"Averbeck, Bruno B.; Chafee, Matthew V.",,,Using model systems to understand errant plasticity mechanisms in psychiatric disorders,NATURE NEUROSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097-6256,1546-1726,,,,NOV,2016,19,11,,,,,1418,1425,,10.1038/nn.4413,,,,,,,WOS:000386539900009,27786180,,,,
0,In mice,J,"Bergamini, G; Cathomas, F; Auer, S; Sigrist, H; Seifritz, E; Patterson, M; Gabriel, C; Pryce, CR",,,,"Bergamini, Giorgio; Cathomas, Flurin; Auer, Sandra; Sigrist, Hannes; Seifritz, Erich; Patterson, Michael; Gabriel, Cecilia; Pryce, Christopher R.",,,Mouse psychosocial stress reduces motivation and cognitive function in operant reward tests: A model for reward pathology with effects of agomelatine,EUROPEAN NEUROPSYCHOPHARMACOLOGY,,,,,,,,,,,,,,,,"Stevens, David/F-4683-2015","Stevens, David/0000-0002-8412-2202",,,,,,,,,,,,0924-977X,1873-7862,,,,SEP,2016,26,9,,,,,1448,1464,,10.1016/j.euroneuro.2016.06.009,,,,,,,WOS:000383009800010,27422761,,,,
0,Stroke patients,J,"Ballester, BR; Maier, M; Mozo, RMSS; Castaneda, V; Duff, A; Verschure, PFMJ",,,,"Rubio Ballester, Belen; Maier, Martina; Segundo Mozo, Rosa Maria San; Castaneda, Victoria; Duff, Armin; Verschure, Paul F. M. J.",,,Counteracting learned non-use in chronic stroke patients with reinforcement-induced movement therapy,JOURNAL OF NEUROENGINEERING AND REHABILITATION,,,,,,,,,,,,,,,,,"Maier, Martina/0000-0001-8898-5657; Rubio Ballester, Belen/0000-0003-3496-5356",,,,,,,,,,,,1743-0003,,,,,Aug-09,2016,13,,,,,,,,74,10.1186/s12984-016-0178-x,,,,,,,WOS:000381338000001,27506203,,,,
0,In rats,J,"Schulz, D; Henn, FA; Petri, D; Huston, JP",,,,"Schulz, Daniela; Henn, Fritz A.; Petri, David; Huston, Joseph P.",,,RATS BRED FOR HELPLESSNESS EXHIBIT POSITIVE REINFORCEMENT LEARNING DEFICITS WHICH ARE NOT ALLEVIATED BY AN ANTIDEPRESSANT DOSE OF THE MAO-B INHIBITOR DEPRENYL,NEUROSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0306-4522,1873-7544,,,,Aug-04,2016,329,,,,,,83,92,,10.1016/j.neuroscience.2016.04.049,,,,,,,WOS:000377933000008,27163379,,,,
0,Review paper,J,"Heinz, A; Schlagenhauf, F; Beck, A; Wackerhagen, C",,,,"Heinz, Andreas; Schlagenhauf, Florian; Beck, Anne; Wackerhagen, Carolin",,,Dimensional psychiatry: mental disorders as dysfunctions of basic learning mechanisms,JOURNAL OF NEURAL TRANSMISSION,,,,,,,,,,,,,,,,"Wackerhagen, Carolin/P-6069-2019","Wackerhagen, Carolin/0000-0002-5689-3472; Schlagenhauf, Florian/0000-0001-8340-5027",,,,,,,,,,,,0300-9564,1435-1463,,,,AUG,2016,123,8,,,SI,,809,821,,10.1007/s00702-016-1561-2,,,,,,,WOS:000380713100002,27145766,,,,
0,In rodents,J,"Groman, SM; Smith, NJ; Petrullli, JR; Massi, B; Chen, LH; Ropchan, J; Huang, YY; Lee, D; Morris, ED; Taylor, JR",,,,"Groman, Stephanie M.; Smith, Nathaniel J.; Petrullli, J. Ryan; Massi, Bart; Chen, Lihui; Ropchan, Jim; Huang, Yiyun; Lee, Daeyeol; Morris, Evan D.; Taylor, Jane R.",,,Dopamine D-3 Receptor Availability Is Associated with Inflexible Decision Making,JOURNAL OF NEUROSCIENCE,,,,,,,,,,,,,,,,"Lee, Daeyeol/A-6794-2008","Lee, Daeyeol/0000-0003-3474-019X",,,,,,,,,,,,0270-6474,,,,,Jun-22,2016,36,25,,,,,6732,6741,,10.1523/JNEUROSCI.3253-15.2016,,,,,,,WOS:000379018100012,27335404,,,,
0,Dyt1 dystonia is clinical group,J,"Arkadir, D; Radulescu, A; Raymond, D; Lubarr, N; Bressman, SB; Mazzoni, P; Niv, Y",,,,"Arkadir, David; Radulescu, Angela; Raymond, Deborah; Lubarr, Naomi; Bressman, Susan B.; Mazzoni, Pietro; Niv, Yael",,,DYT1 dystonia increases risk taking in humans,ELIFE,,,,,,,,,,,,,,,,,"Mazzoni, Pietro/0000-0002-7367-8811; Niv, Yael/0000-0002-0259-8371",,,,,,,,,,,,2050-084X,,,,,Jun-01,2016,5,,,,,,,,e14155,10.7554/eLife.14155,,,,,,,WOS:000380890100001,27249418,,,,
0,No modelling,J,"Klucken, T; Kruse, O; Schweckendiek, J; Kuepper, Y; Mueller, EM; Hennig, J; Stark, R",,,,"Klucken, Tim; Kruse, Onno; Schweckendiek, Jan; Kuepper, Yvonne; Mueller, Erik M.; Hennig, Juergen; Stark, Rudolf",,,No evidence for blocking the return of fear by disrupting reconsolidation prior to extinction learning,CORTEX,,,,,,,,,,,,,,,,"Mueller, Erik Malte/N-5710-2014; Klucken, Tim/F-7669-2013","Mueller, Erik Malte/0000-0002-8721-8963; Klucken, Tim/0000-0003-2433-6652; Kruse, Onno/0000-0003-3098-4955",,,,,,,,,,,,0010-9452,1973-8102,,,,JUN,2016,79,,,,,,112,122,,10.1016/j.cortex.2016.03.015,,,,,,,WOS:000377315300009,27111105,,,,
0,In mice,J,"Baratta, MV; Kodandaramaiah, SB; Monahan, PE; Yao, JM; Weber, MD; Lin, PA; Gisabella, B; Petrossian, N; Amat, J; Kim, K; Yang, AM; Forest, CR; Boyden, ES; Goosens, KA",,,,"Baratta, Michael V.; Kodandaramaiah, Suhasa B.; Monahan, Patrick E.; Yao, Junmei; Weber, Michael D.; Lin, Pei-Ann; Gisabella, Barbara; Petrossian, Natalie; Amat, Jose; Kim, Kyungman; Yang, Aimei; Forest, Craig R.; Boyden, Edward S.; Goosens, Ki A.",,,Stress Enables Reinforcement-Elicited Serotonergic Consolidation of Fear Memory,BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,,,,,"; Kodandaramaiah, Suhasa/B-2844-2016","Lin, Pei-Ann/0000-0003-4727-4407; Kodandaramaiah, Suhasa/0000-0002-7767-2644; Goosens, Ki/0000-0002-5246-2261",,,,,,,,,,,,0006-3223,1873-2402,,,,May-15,2016,79,10,,,,,814,822,,10.1016/j.biopsych.2015.06.025,,,,,,,WOS:000375074200010,26248536,,,,
0,Not clinical group,J,"Atlas, LY; Doll, BB; Li, J; Daw, ND; Phelps, EA",,,,"Atlas, Lauren Y.; Doll, Bradley B.; Li, Jian; Daw, Nataniel D.; Phelps, Elizabeth A.",,,"Instructed knowledge shapes feedback-driven aversive learning in striatum and orbitofrontal cortex, but not the amygdala",ELIFE,,,,,,,,,,,,,,,,"Atlas, Lauren/W-9619-2019","Daw, Nathaniel/0000-0001-5029-1430",,,,,,,,,,,,2050-084X,,,,,May-12,2016,5,,,,,,,,e15192,10.7554/eLife.15192,,,,,,,WOS:000378651700001,27171199,,,,
0,In mice,J,"Hsu, YWA; Morton, G; Guy, EG; Wang, SD; Turner, EE",,,,"Hsu, Yun-Wei A.; Morton, Glenn; Guy, Elizabeth G.; Wang, Si D.; Turner, Eric E.",,,Dorsal Medial Habenula Regulation of Mood-Related Behaviors and Primary Reinforcement by Tachykinin-Expressing Habenula Neurons,ENEURO,,,,,,,,,,,,,,,,"; Turner, Eric/K-3556-2015","Morton, Glenn/0000-0002-4823-3116; Hsu, Yun-Wei/0000-0001-7851-2733; Turner, Eric/0000-0001-5499-6788",,,,,,,,,,,,2373-2822,,,,,MAY-JUN,2016,3,3,,,,,,,,10.1523/ENEURO.0109-16.2016,,,,,,,WOS:000391927300020,27482535,,,,
0,Meeting abstract,J,"Huys, QJM; Renz, D",,,,"Huys, Quentin J. M.; Renz, Daniel",,,Process Models of Goal-directed Metareasoning: Disentangling the Routes to Maladaptive Emotion Regulation,BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006-3223,1873-2402,,,,May-01,2016,79,9,,S,,98,39S,39S,,,,,,,,,WOS:000432440800100,,,,,
0,No modelling,J,"Meulders, A; Franssen, M; Fonteyne, R; Vlaeyen, JWS",,,,"Meulders, Ann; Franssen, Mathijs; Fonteyne, Riet; Vlaeyen, Johan W. S.",,,Acquisition and extinction of operant pain-related avoidance behavior using a 3 degrees-of-freedom robotic arm,PAIN,,,,,,,,,,,,,,,,"Vlaeyen, Johan/P-9070-2019","Vlaeyen, Johan/0000-0003-0437-6665; Meulders, Ann/0000-0003-4250-3928",,,,,,,,,,,,0304-3959,1872-6623,,,,MAY,2016,157,5,,,,,1094,1104,,10.1097/j.pain.0000000000000483,,,,,,,WOS:000378875600015,26761388,,,,
0,Neurons/circuits,J,"Gutig, R",,,,"Guetig, Robert",,,Spiking neurons can discover predictive features by aggregate-label learning,SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0036-8075,1095-9203,,,,Mar-04,2016,351,6277,,,,,,,aab4113,10.1126/science.aab4113,,,,,,,WOS:000371597500032,26941324,,,,
0,Review paper,J,"Sonuga-Barke, EJS; Cortese, S; Fairchild, G; Stringaris, A",,,,"Sonuga-Barke, Edmund J. S.; Cortese, Samuele; Fairchild, Graeme; Stringaris, Argyris",,,"Annual Research Review: Transdiagnostic neuroscience of child and adolescent mental disorders - differentiating decision making in attention-deficit/hyperactivity disorder, conduct disorder, depression, and anxiety",JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,,,,,,,,,,,,,,,,"Sonuga-Barke, Edmund j/D-9137-2011; Stringaris, Argyris/N-1135-2017","Cortese, Samuele/0000-0001-5877-8075; Sonuga-Barke, Edmund/0000-0002-6996-3935",,,,,,,,,,,,0021-9630,1469-7610,,,,MAR,2016,57,3,,,SI,,321,349,,10.1111/jcpp.12496,,,,,,,WOS:000373113000010,26705858,,,,
